Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Medium,10819.8,15.1,8.15
Medium,5971.58,17.9,5.35
Very Large,78517.47,25.1,590.48
Medium,8394.04,18.3,7.7
Large,35486.93,22.0,117.09
Medium,7013.58,12.6,4.42
Medium,9486.95,17.0,8.07
Medium,16482.48,18.7,15.43
Large,29330.31,18.1,79.46
Small,3447.07,11.9,0.41
Large,26745.16,19.7,78.96
Medium,8021.7,18.9,7.59
Very Large,68704.04,22.7,467.96
Large,35490.19,22.9,122.06
Medium,16744.37,12.6,10.52
Small,2413.89,13.0,0.31
Medium,10125.65,15.7,7.96
Large,32120.6,15.2,73.05
Medium,17427.5,19.8,17.29
Small,3272.44,10.9,0.36
Very Large,97732.49,23.3,684.05
Large,29402.17,16.5,72.75
Small,1370.2,12.7,0.17
Small,1648.54,10.4,0.17
Large,39964.19,21.2,126.89
Very Large,60886.45,22.6,412.21
Small,4096.81,11.5,0.47
Small,3393.19,14.3,0.49
Very Large,70885.11,25.3,537.03
Large,39872.9,21.1,126.38
Medium,14524.84,16.6,12.09
Small,4465.96,12.9,0.58
Medium,10737.53,15.3,8.21
Small,4559.87,11.9,0.54
Very Large,94993.98,22.9,651.23
Small,3116.79,10.7,0.33
Small,2964.34,12.5,0.37
Very Large,56087.6,25.9,436.55
Small,2161.94,10.5,0.23
Very Large,69392.25,21.0,437.4
Small,884.6,11.9,0.11
Very Large,91121.12,22.2,605.91
Very Large,81727.51,26.8,658.16
Large,48437.51,22.2,161.07
Very Large,74482.21,23.9,534.23
Large,32772.85,15.8,77.44
Small,1738.28,12.4,0.21
Very Large,77610.75,25.6,595.51
Very Large,73387.39,25.8,567.08
Very Large,69421.36,28.2,587.45
Very Large,76516.64,26.0,596.56
Very Large,93311.68,28.9,809.13
Large,25225.47,16.0,60.56
Medium,9180.61,19.3,8.85
Small,2849.11,14.1,0.4
Small,1200.54,13.2,0.16
Very Large,82144.2,25.7,632.13
Very Large,60085.23,23.1,416.35
Medium,5599.79,15.8,4.43
Small,3088.01,13.7,0.42
Very Large,66101.61,25.6,508.21
Very Large,76896.15,27.2,627.19
Medium,7609.22,18.7,7.13
Very Large,70594.87,27.5,581.65
Medium,19655.58,14.2,13.94
Very Large,99596.33,23.5,700.78
Large,40522.13,15.9,96.36
Small,3620.28,14.6,0.53
Very Large,53476.08,20.5,328.51
Small,2547.73,11.5,0.29
Large,45348.2,24.2,164.9
Large,36176.92,22.9,124.47
Large,41565.92,23.8,148.14
Small,3447.61,12.2,0.42
Very Large,55374.93,28.6,475.5
Small,1945.65,10.5,0.2
Small,3213.26,12.8,0.41
Small,732.48,11.7,0.09
Very Large,86060.26,21.5,555.26
Very Large,87273.35,22.5,588.0
Small,1076.25,12.2,0.13
Large,26312.61,20.2,79.78
Very Large,92303.32,26.2,724.9
Large,40482.71,19.3,117.03
Large,26828.32,24.9,100.1
Very Large,90699.2,27.2,740.69
Small,1627.95,10.7,0.17
Very Large,96795.28,21.4,620.54
Small,989.19,13.8,0.14
Small,3747.33,10.7,0.4
Medium,16141.65,15.8,12.76
Large,33709.41,18.3,92.44
Medium,9747.92,17.1,8.35
Large,36512.91,16.2,88.84
Small,4003.22,10.3,0.41
Very Large,85594.1,20.6,528.57
Small,3258.56,10.9,0.35
Very Large,95355.87,27.0,771.88
Large,42031.2,16.2,102.19
Small,3063.69,11.5,0.35
Large,31740.1,20.6,98.06
Large,25179.7,17.6,66.42
Very Large,78506.35,27.3,643.94
Small,4654.29,13.7,0.64
Very Large,51489.99,25.6,395.96
Small,1339.54,14.5,0.19
Medium,12745.49,12.8,8.13
Large,25268.47,18.7,70.95
Large,44355.75,23.3,154.98
Large,21632.3,21.6,69.98
Small,3519.42,13.3,0.47
Small,1460.06,11.6,0.17
Small,3785.88,11.5,0.44
Small,3259.78,13.8,0.45
Very Large,98734.5,22.6,669.05
Large,28971.93,18.6,80.8
Large,37597.68,21.1,119.17
Medium,10642.21,15.7,8.38
Medium,7976.08,17.9,7.12
Medium,16434.78,15.9,13.03
Medium,6810.31,17.0,5.8
Large,27511.19,20.4,84.3
Large,40740.5,22.0,134.14
Large,33647.2,18.6,93.84
Medium,19653.97,13.3,13.07
Medium,19331.21,15.3,14.8
Large,42499.71,17.8,113.19
Large,40220.79,19.3,116.74
Small,2438.17,12.4,0.3
Medium,5792.37,18.5,5.37
Large,37783.17,24.0,135.8
Large,34439.31,21.0,108.31
Very Large,80574.57,21.0,507.76
Very Large,52774.54,20.0,317.05
Very Large,58930.4,29.8,527.27
Very Large,71348.31,25.1,537.83
Medium,14209.93,13.7,9.74
Medium,14168.21,19.5,13.79
Very Large,65908.63,21.5,424.88
Very Large,68774.86,21.1,435.5
Large,48403.14,15.8,114.57
Small,2378.85,11.5,0.27
Large,26396.43,21.9,86.64
Large,25770.29,17.7,68.45
Medium,8597.18,19.1,8.23
Very Large,57481.84,24.5,422.44
Small,4805.59,10.8,0.52
Large,22517.08,20.2,68.11
Small,4110.88,13.4,0.55
Small,2873.82,11.7,0.34
Large,36968.97,17.9,99.34
Medium,12020.98,13.7,8.26
Medium,18974.12,19.8,18.77
Medium,11010.49,16.2,8.9
Very Large,69998.0,27.3,573.27
Small,3132.21,13.3,0.42
Medium,5926.91,16.5,4.88
Small,839.1,14.8,0.12
Large,36606.76,24.1,132.18
Small,2959.31,11.0,0.33
Very Large,75078.93,28.7,645.67
Large,34656.83,16.1,83.9
Medium,9024.89,12.6,5.7
Medium,19304.85,18.3,17.63
Large,36850.17,19.1,105.66
Very Large,98922.83,23.8,704.84
Medium,11382.51,19.0,10.8
Large,46618.73,15.1,105.66
Small,1384.7,14.3,0.2
Medium,17716.85,18.9,16.75
Small,4547.42,14.0,0.63
Medium,16794.64,19.1,16.06
Small,3084.03,11.5,0.35
Very Large,55827.23,28.5,477.25
Large,45165.38,18.8,127.09
Large,21678.97,20.1,65.25
Large,39368.12,22.1,130.6
Small,4727.66,12.1,0.57
Very Large,70019.69,20.1,422.61
Large,38959.74,23.0,134.45
Small,4466.64,14.0,0.62
Very Large,66924.03,26.6,533.64
Medium,10500.63,17.0,8.91
Very Large,58494.14,22.9,401.03
Very Large,85271.63,28.0,715.53
Small,3900.57,11.3,0.44
Small,4232.71,13.5,0.57
Small,4480.12,10.4,0.47
Very Large,51566.09,21.2,327.78
Very Large,64616.48,24.2,469.26
Medium,6799.1,17.8,6.05
Large,30272.98,25.0,113.44
Very Large,98827.16,20.5,607.73
Small,1397.58,10.3,0.14
Large,37681.43,20.7,116.87
Medium,14365.03,13.9,9.98
Small,1011.21,14.3,0.15
Very Large,66159.49,29.8,591.92
Medium,7412.8,17.1,6.32
Very Large,58420.4,27.3,478.09
Medium,7575.97,12.5,4.74
Large,47626.58,18.4,131.73
Medium,10333.03,19.2,9.92
Small,2588.61,10.1,0.26
Medium,13148.16,18.7,12.27
Medium,6654.15,15.1,5.01
Medium,7329.7,12.3,4.5
Very Large,68322.83,20.4,418.79
Large,38477.14,22.9,132.15
Very Large,68433.87,20.1,412.67
Medium,18152.5,18.6,16.84
Small,1224.22,10.9,0.13
Large,26475.1,23.5,93.19
Medium,7715.76,19.7,7.59
Small,3935.98,14.8,0.58
Medium,11214.15,19.8,11.11
Medium,17175.26,18.0,15.43
Large,40260.64,20.5,123.74
Medium,11488.61,14.0,8.07
Medium,7790.13,14.0,5.47
Medium,8904.25,15.8,7.04
Large,22965.99,15.4,53.13
Small,3887.57,11.8,0.46
Medium,14516.6,18.6,13.52
Large,36298.62,24.8,134.81
Medium,17594.37,15.4,13.55
Large,25245.18,23.3,88.4
Medium,19719.92,16.1,15.92
Medium,18846.29,16.5,15.57
Large,37376.6,15.4,86.47
Very Large,85251.0,23.8,609.96
Large,44625.6,17.8,118.86
Very Large,58290.31,21.5,376.67
Very Large,98696.78,23.6,699.26
Medium,16597.23,12.7,10.54
Large,47440.87,21.7,154.74
Small,2883.1,14.4,0.42
Medium,13163.55,19.6,12.9
Large,49374.02,17.7,131.12
Large,45181.13,24.4,165.67
Very Large,59563.95,28.6,510.4
Medium,15527.94,13.8,10.73
Large,30747.25,16.0,73.75
Very Large,84748.37,24.0,610.53
Very Large,62649.99,29.8,559.27
Large,23189.17,24.1,83.72
Very Large,87759.36,22.1,583.04
Very Large,66486.56,24.6,491.0
Very Large,71432.39,28.2,605.22
Small,3984.17,13.6,0.54
Medium,17533.93,12.1,10.65
Large,49085.98,16.7,123.23
Small,705.11,11.7,0.08
Medium,11546.73,16.7,9.62
Small,3051.05,11.0,0.34
Medium,19382.01,13.6,13.23
Large,24403.91,21.9,80.25
Large,36554.85,16.0,88.0
Large,25122.48,23.7,89.19
Very Large,85167.05,22.0,562.74
Medium,10649.6,16.6,8.83
Medium,11179.4,17.2,9.63
Medium,15168.66,14.8,11.25
Large,46563.16,15.7,109.41
Large,34175.92,18.4,94.37
Very Large,54581.91,21.1,345.88
Medium,12657.73,13.3,8.4
Very Large,85792.5,27.6,710.87
Large,44493.92,18.0,120.16
Small,2077.92,11.2,0.23
Medium,12053.46,16.2,9.79
Medium,18723.18,13.1,12.28
Very Large,64955.81,27.6,537.53
Large,22971.69,18.2,62.67
Small,2916.54,14.5,0.42
Medium,13424.49,17.5,11.77
Medium,14905.3,18.7,13.91
Small,4287.61,11.1,0.48
Very Large,69374.87,26.3,546.7
Large,28919.02,19.7,85.48
Medium,10269.18,16.6,8.51
Very Large,59357.25,25.0,445.92
Small,801.99,12.1,0.1
Very Large,97745.4,29.6,867.66
Large,29171.69,18.7,81.62
Large,37064.56,20.6,114.46
Small,1924.28,14.8,0.29
Small,2053.42,10.9,0.22
Large,37453.57,16.0,89.86
Large,44748.15,20.0,134.55
Large,36256.1,17.2,93.53
Large,24449.05,23.6,86.38
Medium,8249.24,18.8,7.74
Very Large,96325.03,20.3,587.26
Medium,8146.38,13.6,5.54
Medium,17594.44,14.9,13.09
Very Large,61946.44,21.2,393.71
Medium,18458.06,15.5,14.31
Large,28328.38,20.7,87.98
Medium,6641.46,14.2,4.7
Medium,14047.83,13.2,9.25
Medium,5369.96,17.4,4.67
Very Large,82330.36,22.7,561.15
Very Large,98755.1,29.6,877.62
Small,2881.6,10.0,0.29
Medium,15530.54,17.8,13.83
Large,33088.07,21.3,105.85
Very Large,79038.05,24.8,588.92
Very Large,65778.67,29.9,590.25
Large,28804.36,17.1,73.95
Very Large,91800.35,20.5,563.72
Medium,5548.55,13.5,3.74
Very Large,70718.48,21.9,465.6
Medium,15753.26,16.6,13.11
Large,40543.86,16.9,102.58
Medium,19381.8,18.9,18.31
Very Large,82093.66,29.7,731.3
Large,38039.25,22.1,126.22
Large,47969.17,21.0,151.19
Very Large,71066.99,28.5,608.48
Large,30586.34,18.8,86.05
Very Large,61766.28,25.6,473.91
Medium,15794.83,12.2,9.62
Large,28745.42,17.3,74.78
Medium,19174.04,18.6,17.82
Large,20040.01,18.2,54.82
Small,4602.11,11.9,0.55
Very Large,67482.67,20.9,423.69
Small,3417.91,13.4,0.46
Small,4259.13,13.1,0.56
Medium,15560.61,13.4,10.44
Small,4693.56,12.6,0.59
Small,3554.81,13.7,0.49
Small,3363.55,12.5,0.42
Very Large,71670.64,21.3,457.14
Small,4494.15,12.8,0.58
Small,1762.07,13.4,0.24
Medium,11710.7,17.3,10.11
Large,37143.16,17.5,97.25
Large,29785.55,24.6,109.95
Large,40385.22,21.5,130.36
Medium,17945.4,15.3,13.76
Medium,19083.38,18.2,17.41
Small,2267.38,11.8,0.27
Large,31529.01,15.6,73.56
Small,3557.34,12.8,0.46
Large,36649.26,18.0,98.69
Small,2438.22,12.5,0.3
Medium,11705.92,19.5,11.4
Small,3399.09,10.1,0.34
Small,3543.08,11.2,0.4
Medium,18089.55,14.4,13.01
Large,34360.6,19.1,98.24
Medium,10585.07,14.5,7.7
Small,3434.37,13.7,0.47
Medium,17186.04,15.8,13.59
Small,2917.43,13.9,0.41
Small,3286.44,12.3,0.4
Large,44179.48,16.8,111.29
Medium,14516.8,18.1,13.15
Very Large,76494.32,26.6,610.04
Medium,11470.48,15.6,8.93
Large,46173.67,23.8,164.61
Medium,14403.74,13.4,9.64
Medium,10489.8,15.2,7.99
Very Large,94449.58,20.5,582.27
Large,36529.68,22.7,124.41
Very Large,52292.6,20.1,314.89
Large,28389.84,21.1,89.84
Very Large,73521.61,22.7,499.92
Small,3623.3,13.8,0.5
Medium,7761.95,18.7,7.27
Small,3367.76,13.9,0.47
Small,1133.65,14.6,0.17
Medium,15894.3,16.1,12.79
Small,4455.47,13.8,0.61
Large,28550.54,22.3,95.52
Large,40699.74,23.7,144.67
Small,3969.04,10.7,0.43
Medium,8936.84,14.6,6.54
Medium,8058.18,19.2,7.74
Very Large,76031.12,23.9,545.45
Small,2246.12,12.5,0.28
Medium,17831.24,15.5,13.81
Large,41885.3,17.1,107.25
Small,3897.19,11.1,0.43
Very Large,81294.33,28.2,687.22
Large,44943.07,16.9,113.82
Very Large,50180.65,22.5,339.28
Large,25159.11,19.2,72.48
Large,41152.4,20.4,126.14
Very Large,99528.26,22.8,680.89
Large,20824.79,15.6,48.88
Large,42586.08,21.6,137.84
Small,1437.73,12.2,0.18
Very Large,61747.43,24.4,452.45
Medium,11984.48,20.0,11.98
Small,2002.29,12.4,0.25
Small,1356.36,14.4,0.2
Medium,11434.55,18.9,10.82
Very Large,51716.61,29.8,462.74
Medium,6405.87,18.2,5.84
Very Large,60763.64,22.8,415.52
Large,27119.42,19.4,78.82
Large,33325.18,21.6,108.05
Small,2504.45,13.6,0.34
Small,2319.49,13.9,0.32
Very Large,68540.21,27.1,557.02
Medium,8677.31,16.0,6.96
Large,21679.41,16.2,52.71
Small,3500.76,14.7,0.51
Very Large,66632.73,25.9,518.27
Medium,17819.54,13.6,12.08
Very Large,86527.13,20.5,531.2
Large,23725.62,24.4,86.77
Small,1658.04,11.3,0.19
Large,48385.93,25.0,181.26
Very Large,92870.74,25.6,712.77
Very Large,56112.65,28.7,483.85
Very Large,77386.87,20.8,483.64
Small,2400.48,10.7,0.26
Large,29082.66,19.6,85.53
Small,4391.62,12.0,0.52
Small,4254.15,11.5,0.49
Small,1706.04,10.3,0.18
Large,46674.35,17.2,120.36
Large,41518.72,16.3,101.59
Small,4367.12,10.5,0.46
Very Large,55576.67,27.0,450.86
Small,1473.99,14.0,0.21
Large,24251.12,21.0,76.33
Large,22726.97,20.1,68.68
Very Large,79208.09,27.4,650.59
Small,3002.52,12.0,0.36
Large,48616.85,17.3,126.18
Very Large,97662.74,28.5,835.15
Medium,15775.22,16.9,13.33
Large,35802.49,20.4,109.44
Large,37773.3,16.0,90.64
Medium,19529.94,17.4,16.97
Very Large,94288.08,24.2,685.46
Very Large,88335.58,23.0,608.29
Small,2323.71,14.5,0.34
Very Large,50477.91,22.4,338.78
Very Large,91079.58,29.7,812.22
Large,46375.55,19.6,136.13
Medium,15251.24,16.8,12.85
Small,734.83,14.7,0.11
Medium,13551.81,12.9,8.74
Medium,12374.2,12.1,7.52
Large,46552.28,20.8,145.21
Medium,8426.28,15.4,6.48
Very Large,64912.86,27.5,534.79
Medium,7003.37,15.9,5.57
Very Large,91327.79,29.9,819.28
Small,580.03,10.2,0.06
Small,1134.05,14.3,0.16
Very Large,80107.72,24.5,589.74
Very Large,83687.23,26.1,655.1
Very Large,94639.67,30.0,851.28
Medium,13396.8,12.2,8.16
Large,39830.81,21.6,129.14
Very Large,78865.58,27.1,640.0
Large,38385.66,21.9,126.0
Small,969.9,12.3,0.12
Large,36724.24,21.4,118.1
Very Large,67765.81,23.4,475.22
Large,35592.27,21.8,116.48
Very Large,57208.16,28.7,493.08
Small,3019.84,13.0,0.39
Very Large,77847.42,27.2,636.02
Medium,8026.99,12.6,5.04
Large,26602.85,16.8,67.05
Very Large,84388.65,24.7,625.63
Large,36155.27,17.5,95.15
Small,4532.07,14.3,0.65
Medium,19967.55,19.2,19.17
Medium,9298.21,19.8,9.2
Medium,6928.19,17.0,5.88
Medium,11797.04,14.5,8.57
Large,40924.18,15.5,95.29
Large,35368.54,22.9,121.46
Large,31689.68,15.0,71.33
Very Large,64547.92,27.9,541.11
Small,2518.37,11.8,0.3
Large,25057.07,21.3,80.11
Large,34878.08,23.1,120.81
Small,1519.09,10.6,0.16
Very Large,53649.19,28.7,461.14
Large,34982.14,19.7,103.62
Large,27981.56,23.9,100.33
Medium,19657.18,18.4,18.06
Very Large,50056.43,28.9,434.63
Medium,6830.81,13.5,4.62
Medium,9755.21,13.7,6.69
Very Large,65715.74,20.8,410.99
Medium,7142.88,18.9,6.75
Small,1489.66,14.7,0.22
Medium,11250.02,13.8,7.74
Medium,7822.76,13.7,5.36
Very Large,96269.34,25.6,738.91
Medium,16836.11,17.8,14.98
Small,2410.87,10.7,0.26
Large,24909.26,23.7,88.6
Medium,16778.63,16.4,13.76
Small,3442.12,10.5,0.36
Medium,10462.37,15.6,8.16
Small,3785.34,11.1,0.42
Medium,13659.2,17.4,11.89
Medium,8518.16,13.5,5.77
Large,48645.18,15.8,115.03
Large,25518.42,19.6,75.2
Small,3985.27,14.7,0.59
Medium,19665.85,18.3,18.02
Medium,17913.05,15.9,14.25
Medium,16381.46,13.5,11.08
Small,2890.16,14.5,0.42
Large,44089.76,23.8,157.36
Medium,10071.62,12.9,6.48
Very Large,89532.98,27.0,724.45
Large,26470.59,17.6,69.71
Medium,9215.42,14.1,6.5
Small,4187.01,13.9,0.58
Large,42248.27,21.9,139.0
Medium,17559.22,19.5,17.12
Small,3929.77,14.4,0.57
Very Large,59972.93,22.6,407.07
Medium,18629.83,18.5,17.2
Large,45517.53,15.1,103.02
Large,34205.9,23.0,117.92
Medium,18346.37,14.4,13.22
Very Large,64582.94,21.2,411.38
Very Large,95424.74,24.6,705.53
Large,25232.32,20.9,79.07
Medium,17261.98,13.0,11.2
Large,39580.67,16.2,96.26
Medium,10818.48,17.1,9.25
Very Large,69857.62,26.0,544.68
Very Large,76873.4,21.4,494.13
Large,21042.26,19.7,62.14
Medium,17252.3,16.1,13.92
Small,4968.07,12.0,0.6
Medium,6734.18,12.8,4.32
Very Large,73177.61,27.4,600.97
Very Large,98980.69,29.8,885.0
Medium,7417.46,15.4,5.72
Very Large,91550.6,21.3,583.64
Very Large,76557.23,21.5,492.96
Large,43722.65,17.0,111.54
Small,933.13,11.4,0.11
Small,1447.71,11.4,0.17
Medium,12864.29,15.3,9.82
Large,42590.31,24.1,154.2
Medium,18272.05,17.8,16.25
Small,2751.9,10.1,0.28
Large,38541.28,19.6,113.32
Medium,13537.62,16.1,10.93
Medium,18233.19,15.2,13.87
Small,1404.85,14.5,0.2
Large,40166.76,24.5,147.68
Very Large,56971.92,25.1,428.53
Large,23104.93,17.5,60.77
Medium,7214.54,15.6,5.64
Small,1420.81,13.4,0.19
Medium,8794.41,17.5,7.68
Small,4689.63,12.8,0.6
Small,717.1,11.9,0.09
Medium,19446.72,13.0,12.62
Very Large,54885.21,25.2,415.09
Very Large,91907.46,25.2,693.64
Very Large,76113.95,25.2,574.58
Large,45683.91,17.3,118.61
Medium,13733.01,13.6,9.33
Very Large,94405.4,24.7,700.55
Small,3912.84,11.7,0.46
Small,4663.98,12.2,0.57
Very Large,55187.47,23.4,387.98
Large,24295.93,20.6,75.0
Very Large,98237.63,27.3,806.04
Very Large,91578.47,25.9,711.96
Medium,14754.85,13.7,10.1
Medium,19704.83,16.9,16.68
Large,30107.42,21.2,95.73
Very Large,71467.14,28.6,613.54
Large,27299.09,24.5,100.27
Small,1448.95,11.2,0.16
Medium,5343.53,19.7,5.26
Medium,12985.98,19.2,12.46
Large,41086.98,15.9,97.79
Small,4041.96,14.8,0.6
Small,4627.29,13.7,0.63
Small,3409.69,11.8,0.4
Large,30829.08,22.8,105.6
Medium,5524.73,18.2,5.01
Small,1502.48,13.3,0.2
Medium,16433.49,16.2,13.28
Very Large,94956.11,23.4,666.05
Large,46870.08,22.9,160.98
Medium,10923.0,16.9,9.21
Small,541.43,11.0,0.06
Medium,10951.26,12.8,7.02
Very Large,64234.9,29.6,570.39
Small,3571.62,14.2,0.51
Very Large,55964.98,21.0,353.05
Large,20926.91,17.0,53.41
Large,30837.28,23.6,109.26
Very Large,51360.13,25.5,393.4
Small,2294.76,13.8,0.32
Medium,12542.25,14.2,8.87
Medium,12304.11,18.3,11.27
Medium,5313.6,19.6,5.21
Small,2753.13,14.9,0.41
Small,4692.33,13.7,0.64
Small,3976.37,11.3,0.45
Small,3081.75,12.9,0.4
Large,48961.66,16.5,121.13
Medium,13624.56,13.4,9.14
Large,26502.73,20.9,82.91
Small,2810.4,10.8,0.3
Medium,5965.62,12.8,3.82
Large,34660.59,15.8,82.02
Medium,8672.16,16.6,7.2
Medium,13909.06,18.9,13.15
Medium,12859.61,13.1,8.41
Small,2444.46,12.8,0.31
Medium,6104.27,13.5,4.13
Large,48019.86,16.1,116.0
Small,4600.71,10.1,0.46
Very Large,63267.56,23.3,442.31
Small,3149.11,11.1,0.35
Small,3029.65,12.3,0.37
Small,2327.06,14.9,0.35
Medium,7193.32,19.1,6.88
Large,34210.73,22.6,115.74
Large,28997.39,16.8,73.15
Large,43961.14,17.1,112.8
Very Large,63762.89,28.6,547.94
Large,47940.75,16.5,118.37
Large,29906.37,18.2,81.65
Very Large,66298.95,25.6,509.77
Very Large,81431.78,21.5,524.45
Large,26442.78,16.9,66.91
Very Large,86208.5,25.8,665.97
Small,589.46,12.7,0.07
Very Large,90461.9,25.5,692.5
Large,49067.05,21.9,161.52
Large,35757.84,22.0,118.11
Very Large,84443.32,29.0,733.4
Medium,10548.95,18.6,9.82
Very Large,65173.93,27.8,544.13
Medium,5235.42,14.3,3.75
Medium,17254.75,12.9,11.12
Very Large,74302.25,24.2,539.89
Very Large,77101.77,22.8,527.95
Large,42492.28,15.7,100.16
Large,49578.85,15.3,113.9
Large,23776.94,19.5,69.65
Large,30687.45,21.7,100.06
Very Large,62888.29,24.6,463.9
Large,39706.8,17.8,106.02
Small,2844.96,11.4,0.33
Small,2602.28,13.5,0.35
Medium,10549.5,13.2,6.97
Medium,15302.32,16.5,12.66
Medium,15978.56,16.5,13.17
Small,2611.6,12.6,0.33
Medium,13856.06,12.5,8.65
Large,24222.3,16.6,60.19
Large,20294.24,17.5,53.2
Medium,7542.8,18.1,6.81
Large,45214.78,23.3,158.19
Medium,17910.93,12.1,10.86
Large,40212.92,18.9,113.82
Large,22087.45,20.0,66.14
Large,48346.67,15.1,109.76
Small,1266.95,11.8,0.15
Large,44462.88,24.2,161.29
Medium,17245.97,19.5,16.78
Large,24224.0,20.2,73.42
Small,847.82,11.3,0.1
Very Large,80112.3,29.8,715.95
Small,2062.25,12.8,0.26
Large,43781.01,17.3,113.81
Very Large,64807.72,26.3,510.81
Large,23857.04,20.0,71.43
Very Large,90667.17,21.0,570.86
Large,39345.66,21.2,124.9
Small,3757.98,12.8,0.48
Large,24407.69,20.7,75.9
Medium,17179.13,18.5,15.9
Very Large,62828.66,22.7,427.2
Large,47780.22,15.2,109.21
Large,48713.73,15.5,112.99
Small,4430.16,11.9,0.53
Large,24109.9,20.7,74.69
Very Large,62494.66,24.9,466.56
Small,2348.19,14.2,0.33
Large,35545.55,20.2,107.8
Small,3194.31,13.4,0.43
Small,507.76,10.5,0.05
Large,37269.84,20.9,117.07
Small,4526.21,14.6,0.66
Large,37481.72,16.5,92.72
Large,35293.31,16.8,88.7
Large,26267.22,24.5,96.44
Medium,11500.5,18.1,10.39
Large,33219.61,21.8,108.45
Medium,11380.33,20.0,11.36
Medium,18358.27,15.4,14.17
Small,4222.18,14.1,0.59
Very Large,64449.55,28.0,541.3
Medium,7275.0,12.7,4.6
Large,23337.84,24.0,84.06
Medium,17439.3,17.8,15.55
Large,24988.23,23.3,87.52
Small,4542.26,11.5,0.52
Small,2236.46,13.9,0.31
Very Large,67907.34,21.9,446.75
Large,35187.18,20.4,107.58
Large,43937.94,20.7,136.36
Very Large,97496.24,20.3,593.08
Small,3504.23,12.2,0.43
Very Large,76894.55,23.6,543.27
Small,4000.15,11.2,0.45
Large,21207.41,17.4,55.22
Large,21954.12,22.8,75.09
Large,26752.75,20.3,81.61
Large,35036.98,22.0,115.88
Large,32839.59,16.2,79.91
Medium,7719.89,15.8,6.1
Small,4517.74,14.0,0.63
Medium,8066.7,13.9,5.61
Very Large,90942.75,25.6,699.47
Medium,11570.48,18.2,10.53
Large,40711.33,24.3,148.67
Very Large,93897.08,20.8,585.87
Small,4143.12,14.8,0.61
Small,3120.67,14.9,0.47
Medium,6849.3,18.8,6.43
Very Large,64842.6,21.5,418.7
Large,39891.62,22.4,134.06
Large,27215.36,18.1,73.75
Medium,16781.32,15.7,13.14
Very Large,68623.35,24.6,505.95
Medium,7856.75,19.9,7.8
Large,48352.38,24.9,180.36
Very Large,79351.29,27.2,647.67
Very Large,59316.67,23.6,420.65
Large,43137.59,22.9,148.34
Very Large,67595.25,20.9,424.7
Small,1667.23,12.9,0.22
Very Large,93821.46,28.4,800.26
Large,44813.76,21.1,141.68
Very Large,92829.22,20.8,578.04
Small,1660.87,13.8,0.23
Large,48862.26,22.8,167.08
Medium,19073.82,12.1,11.54
Small,2854.3,14.6,0.42
Very Large,54773.13,27.8,457.63
Large,29137.4,15.4,67.12
Small,3474.03,12.8,0.44
Small,1171.11,14.1,0.17
Small,4661.93,14.6,0.68
Medium,10490.23,14.4,7.57
Large,44264.69,20.7,137.49
Very Large,81537.75,25.0,612.53
Large,23506.14,21.1,74.24
Very Large,88669.61,20.5,545.86
Very Large,65182.68,29.0,566.84
Medium,16837.16,16.2,13.67
Small,2446.16,10.6,0.26
Large,44183.35,19.4,128.43
Very Large,86311.29,21.1,546.37
Small,1511.42,13.1,0.2
Large,36344.06,15.8,86.29
Small,4861.59,11.0,0.53
Small,1100.61,11.4,0.13
Medium,6491.92,15.0,4.88
Small,539.9,11.7,0.06
Medium,13198.91,12.7,8.39
Very Large,66924.29,24.6,492.92
Large,45759.49,24.2,166.07
Medium,7563.58,15.5,5.85
Large,39656.97,18.4,109.47
Medium,18294.97,14.0,12.8
Very Large,91556.95,23.5,645.12
Small,4934.55,14.1,0.7
Very Large,77212.7,29.6,684.84
Very Large,75168.9,26.4,595.03
Large,49138.89,18.7,138.01
Small,2349.24,13.0,0.31
Very Large,87015.24,27.7,723.1
Medium,10458.79,12.5,6.53
Medium,5601.75,19.9,5.57
Small,4333.47,13.1,0.57
Small,3132.95,11.1,0.35
Small,3518.2,10.2,0.36
Very Large,93112.58,23.9,667.76
Medium,6162.97,18.4,5.68
Small,1679.74,11.1,0.19
Very Large,78026.58,23.8,557.01
Large,32356.95,15.7,76.36
Large,47353.89,22.2,157.5
Small,1443.83,11.6,0.17
Medium,10331.92,13.9,7.17
Medium,6078.49,17.7,5.39
Small,3547.23,14.7,0.52
Very Large,67300.12,24.5,494.9
Large,29921.08,15.1,67.99
Small,2858.5,10.2,0.29
Very Large,95334.16,29.6,846.22
Very Large,96622.52,26.3,762.53
Small,4293.3,10.9,0.47
Medium,8467.27,15.2,6.42
Medium,8312.37,13.2,5.5
Very Large,97812.96,24.3,714.15
Medium,15911.54,14.5,11.51
Very Large,60433.38,25.0,452.53
Medium,12724.61,16.7,10.6
Very Large,91317.96,24.5,671.77
Very Large,72017.96,21.4,462.89
Medium,12319.36,18.2,11.21
Small,3146.25,11.1,0.35
Very Large,93370.21,23.3,651.85
Small,3441.74,11.4,0.39
Medium,9273.33,15.3,7.11
Very Large,76272.03,26.8,613.15
Large,37000.02,21.5,119.56
Very Large,95610.0,29.7,851.41
Small,4328.51,11.3,0.49
Medium,11639.08,16.4,9.55
Large,39784.71,15.4,92.0
Small,4318.83,13.8,0.6
Medium,17415.07,15.6,13.59
Medium,10216.48,17.4,8.91
