Ship_Type,Ship_Size,Fuel_Level_tonnes,Ship_Load_%,Wind_Speed_knots,Precipitation_mm_hr,Wave_Height_m,Storm_Severity,Distance_to_Disaster_km,Adjusted_Speed_knots
Tanker,Small,38.45,87.0,12.61,31.98,5.82,Medium,22.97,1.78
Cargo,Small,25.19,87.0,35.01,22.29,15.17,High,442.32,1.71
Tanker,Medium,64.28,73.0,13.89,4.07,3.42,Low,33.89,10.42
Container,Medium,60.15,65.0,22.48,18.89,7.58,Medium,15.3,5.49
Passenger,Small,44.04,85.0,17.34,49.7,10.66,Medium,1.01,0.48
Container,Medium,86.57,65.0,18.36,2.43,5.42,Low,341.87,13.11
Passenger,Small,21.37,83.0,38.78,34.83,21.08,High,227.96,0.0
Tanker,Medium,82.31,88.0,11.85,42.06,4.03,Medium,51.41,6.28
Passenger,Large,180.07,88.0,25.09,32.44,11.25,Medium,428.1,11.65
Passenger,Small,37.86,90.0,16.8,28.49,7.49,Medium,101.36,2.25
Tanker,Large,107.93,95.0,2.45,35.38,2.87,Low,163.16,15.31
Cargo,Large,102.61,80.0,19.57,21.47,3.75,Low,88.86,13.91
Container,Medium,86.02,89.0,32.53,4.57,7.13,Medium,463.38,9.8
Container,Large,146.3,85.0,3.95,48.12,3.01,Low,379.03,17.13
Tanker,Small,48.36,67.0,2.78,21.62,2.4,Low,361.98,8.61
Passenger,Small,37.79,61.0,6.15,33.27,3.33,Low,22.0,4.71
Container,Large,152.92,71.0,30.58,26.57,15.52,High,261.35,5.0
Container,Large,182.52,78.0,28.96,2.73,6.44,Medium,287.73,11.13
Tanker,Small,40.62,85.0,22.6,47.64,5.78,Medium,191.26,2.65
Cargo,Large,140.0,94.0,18.73,39.63,6.08,Medium,160.88,9.67
Cargo,Small,48.69,68.0,35.53,7.45,12.41,High,425.97,2.09
Container,Medium,85.06,65.0,30.67,49.08,15.89,High,11.51,0.01
Container,Large,171.64,99.0,32.48,36.85,10.1,High,312.68,5.76
Tanker,Large,123.32,64.0,32.53,23.62,16.34,High,197.12,4.24
Container,Medium,93.0,79.0,25.71,30.57,6.61,Medium,332.98,8.37
Container,Small,37.25,83.0,18.32,5.34,7.18,Medium,98.96,2.65
Container,Large,134.32,82.0,34.59,28.02,15.04,High,119.33,3.4
Passenger,Large,195.89,63.0,37.04,3.68,7.95,Medium,293.43,10.61
Passenger,Large,180.53,62.0,0.95,27.24,1.47,Low,489.97,18.96
Passenger,Large,186.97,64.0,2.06,27.63,1.89,Low,487.34,18.83
Container,Large,158.25,83.0,38.35,43.72,6.71,Medium,124.49,8.18
Cargo,Small,22.2,82.0,11.09,36.25,6.92,Medium,51.18,1.94
Tanker,Medium,57.59,69.0,34.93,12.48,17.44,High,295.17,3.21
Passenger,Medium,76.76,86.0,15.55,44.42,8.35,Medium,209.99,7.2
Container,Small,49.98,93.0,4.76,28.66,3.29,Low,380.84,8.47
Container,Large,171.87,62.0,3.22,30.32,2.15,Low,263.99,16.46
Container,Large,174.24,80.0,6.26,8.45,1.23,Low,255.29,16.75
Tanker,Large,160.53,88.0,10.0,42.89,6.35,Medium,323.23,11.64
Cargo,Small,45.55,70.0,19.54,46.55,8.65,Medium,63.21,1.26
Container,Large,192.86,72.0,28.06,38.75,12.39,High,338.58,5.97
Passenger,Small,28.64,85.0,39.46,47.04,18.6,High,244.26,0.0
Cargo,Medium,92.92,96.0,17.66,15.11,5.41,Medium,410.07,9.97
Container,Medium,60.81,92.0,20.73,43.06,5.42,Medium,69.35,5.85
Tanker,Small,20.82,83.0,20.87,24.44,9.95,Medium,150.37,2.38
Passenger,Medium,68.86,89.0,21.58,8.2,6.48,Medium,475.12,10.46
Container,Small,45.99,75.0,20.71,33.44,10.59,Medium,276.54,3.4
Tanker,Medium,72.44,86.0,0.35,34.21,1.81,Low,464.65,14.96
Cargo,Medium,69.49,79.0,0.07,14.35,0.73,Low,344.52,14.28
Passenger,Medium,82.22,68.0,3.91,1.37,0.73,Low,463.22,15.54
Passenger,Medium,93.27,88.0,4.06,9.99,2.11,Low,158.91,12.18
Cargo,Medium,76.22,82.0,28.2,19.99,10.3,Medium,45.27,5.21
Cargo,Small,48.6,74.0,8.2,8.38,2.57,Low,401.12,8.98
Tanker,Small,26.62,96.0,35.79,9.7,11.11,Medium,402.23,4.33
Tanker,Medium,80.95,61.0,37.14,19.57,12.86,High,309.41,3.56
Container,Small,29.21,73.0,39.04,48.09,10.05,High,289.79,0.0
Container,Medium,82.39,62.0,37.56,38.21,11.35,High,457.45,4.8
Tanker,Medium,77.07,91.0,10.88,15.99,3.16,Low,88.25,10.9
Passenger,Small,31.36,88.0,20.39,47.58,7.59,Medium,308.27,3.75
Container,Small,41.66,73.0,7.02,32.28,3.72,Low,24.89,4.68
Cargo,Medium,55.65,87.0,32.25,22.77,6.6,Medium,70.43,5.58
Container,Small,32.95,76.0,35.54,23.42,10.32,Medium,218.64,2.31
Cargo,Large,188.69,90.0,34.05,20.54,9.68,Medium,410.6,11.42
Passenger,Medium,96.15,78.0,17.33,11.65,4.3,Low,366.57,13.34
Cargo,Medium,77.13,76.0,30.35,19.33,16.12,High,487.03,5.35
Cargo,Large,146.22,97.0,3.9,26.39,1.82,Low,22.42,14.12
Container,Medium,62.35,70.0,1.61,26.4,1.9,Low,190.68,12.31
Tanker,Medium,77.13,65.0,30.13,38.09,7.02,Medium,79.4,5.42
Passenger,Large,165.58,83.0,17.01,17.94,8.31,Medium,18.48,8.54
Passenger,Medium,86.7,99.0,39.82,35.84,20.34,High,132.2,0.58
Container,Medium,57.0,75.0,3.89,28.9,2.46,Low,122.24,11.4
Container,Large,190.45,62.0,34.23,48.09,17.1,High,210.01,3.72
Cargo,Large,184.98,74.0,19.2,19.26,4.8,Medium,70.04,9.28
Passenger,Small,40.24,80.0,33.09,45.06,7.42,Medium,244.28,2.55
Cargo,Medium,77.08,66.0,32.69,41.03,9.45,High,460.05,5.2
Cargo,Small,28.66,86.0,36.64,31.88,10.27,High,374.09,1.24
Cargo,Medium,82.06,100.0,11.91,32.73,4.72,Medium,421.09,10.09
Cargo,Large,140.27,78.0,37.99,4.23,9.68,Medium,402.36,11.47
Passenger,Small,30.89,74.0,6.07,47.51,3.98,Low,194.81,6.1
Cargo,Large,173.41,76.0,3.28,5.35,1.53,Low,354.48,17.92
Cargo,Small,42.04,65.0,17.26,28.16,4.83,Medium,377.13,5.26
Passenger,Small,38.98,95.0,33.13,16.5,4.38,Medium,102.82,2.0
Cargo,Small,43.35,77.0,18.94,21.49,6.68,Medium,430.13,5.66
Cargo,Medium,76.69,75.0,33.17,30.51,10.79,High,228.87,2.94
Cargo,Medium,99.8,86.0,29.19,45.44,5.89,Medium,8.18,4.72
Cargo,Small,48.09,78.0,8.38,22.88,2.43,Low,321.69,7.9
Tanker,Small,37.23,86.0,37.96,49.39,14.01,High,338.38,0.1
Passenger,Large,179.85,62.0,2.43,29.64,1.95,Low,275.88,16.65
Container,Large,152.52,93.0,35.93,8.03,16.61,High,106.21,3.44
Passenger,Large,107.07,98.0,12.18,9.5,2.54,Low,241.14,16.16
Container,Small,48.03,86.0,20.01,35.81,3.95,Medium,200.06,3.29
Container,Medium,62.89,98.0,16.89,2.52,4.84,Low,487.34,14.69
Tanker,Small,42.53,66.0,6.87,24.02,4.6,Low,412.34,8.64
Tanker,Small,22.67,79.0,14.33,7.41,5.44,Low,380.95,8.2
Passenger,Medium,65.51,84.0,7.72,21.66,2.95,Low,90.54,10.99
Passenger,Medium,66.12,83.0,8.16,37.5,2.75,Low,165.52,11.42
Cargo,Small,32.37,76.0,7.48,22.94,3.35,Low,189.86,6.53
Passenger,Large,189.43,74.0,19.56,8.17,3.98,Low,246.31,15.72
Tanker,Medium,78.14,65.0,31.92,12.6,12.09,Medium,15.11,4.69
Cargo,Large,162.6,76.0,22.76,18.38,8.5,Medium,296.5,11.01
Passenger,Medium,87.24,67.0,35.73,3.48,7.54,Medium,178.93,6.78
Tanker,Medium,50.14,89.0,25.46,29.22,4.71,Medium,280.84,8.08
Tanker,Small,20.76,68.0,27.57,30.38,12.6,High,4.49,0.0
Container,Large,117.73,62.0,26.7,3.11,9.08,Medium,160.72,9.7
Tanker,Medium,67.7,82.0,17.98,20.12,8.86,Medium,384.33,9.26
Container,Large,121.6,84.0,27.57,20.7,6.66,Medium,250.54,10.45
Tanker,Large,167.56,95.0,2.79,16.69,1.84,Low,394.44,18.09
Cargo,Medium,68.44,83.0,34.39,27.89,6.47,Medium,349.48,8.17
Tanker,Medium,52.35,74.0,31.11,17.3,7.61,Medium,427.46,9.21
Container,Medium,90.22,92.0,9.81,20.82,4.6,Low,3.72,9.87
Passenger,Medium,56.03,82.0,30.72,39.88,15.21,High,130.66,1.45
Passenger,Medium,96.2,63.0,0.51,8.11,0.52,Low,274.4,13.7
Passenger,Medium,55.76,83.0,8.69,30.96,5.19,Medium,470.51,10.73
Cargo,Medium,67.17,96.0,2.61,25.28,2.23,Low,339.9,13.74
Cargo,Small,35.78,76.0,31.21,15.25,8.24,Medium,228.29,2.99
Cargo,Small,29.9,72.0,30.23,36.38,15.44,High,65.07,0.0
Cargo,Small,41.15,66.0,32.55,27.56,11.26,High,246.61,0.16
Passenger,Large,117.16,66.0,0.18,23.87,1.26,Low,220.54,16.39
Container,Medium,61.31,77.0,20.05,33.38,7.65,Medium,389.22,9.06
Cargo,Medium,54.2,84.0,28.19,40.11,9.93,Medium,206.67,6.46
Container,Large,178.99,63.0,6.22,48.63,5.16,Medium,159.42,10.19
Passenger,Small,44.66,98.0,25.99,31.47,7.24,Medium,44.86,1.2
Container,Large,162.01,90.0,3.36,43.72,2.57,Low,23.25,13.73
Container,Large,135.08,83.0,7.25,0.05,3.28,Low,219.57,16.3
Container,Medium,66.83,93.0,19.03,26.51,9.51,Medium,173.43,6.9
Passenger,Large,112.91,63.0,26.14,10.73,6.98,Medium,277.66,10.96
Passenger,Large,114.68,79.0,5.83,4.71,1.25,Low,355.96,17.85
Cargo,Medium,51.77,85.0,7.41,26.6,4.07,Low,20.0,10.09
Container,Small,34.83,93.0,8.18,37.34,2.94,Low,248.11,6.83
Container,Small,48.41,91.0,9.55,20.61,3.6,Low,430.99,8.86
Container,Small,42.33,71.0,9.06,33.51,2.89,Low,227.58,6.66
Cargo,Large,178.88,98.0,15.81,24.49,6.59,Medium,260.62,11.07
Tanker,Small,33.4,65.0,26.15,21.85,3.99,Medium,243.4,3.69
Tanker,Medium,53.46,95.0,17.52,14.51,6.89,Medium,194.9,7.69
Container,Small,38.16,99.0,31.04,19.13,12.42,High,55.06,0.0
Container,Medium,67.39,67.0,28.77,17.49,9.36,Medium,63.18,5.51
Container,Small,44.35,89.0,5.06,32.31,2.48,Low,89.54,5.55
Cargo,Medium,92.82,62.0,1.95,5.8,0.56,Low,396.28,14.89
Passenger,Large,187.11,76.0,35.12,4.63,8.14,Medium,137.67,9.11
Container,Small,40.9,81.0,3.19,33.0,2.56,Low,474.06,9.47
Passenger,Large,114.45,83.0,5.93,27.31,3.48,Low,405.09,17.66
Cargo,Medium,59.51,97.0,0.89,21.51,1.16,Low,342.27,14.03
Tanker,Small,31.5,87.0,25.13,7.62,10.04,Medium,360.2,4.59
Cargo,Small,43.51,79.0,23.29,20.55,10.0,Medium,23.82,1.06
Passenger,Medium,76.88,92.0,39.48,39.49,12.94,High,284.19,2.78
Tanker,Small,46.8,98.0,35.48,44.48,10.65,High,470.53,1.98
Tanker,Medium,58.77,61.0,16.43,35.13,8.94,Medium,19.56,5.38
Container,Medium,87.89,99.0,14.86,3.0,6.3,Low,145.51,11.22
Cargo,Small,35.99,63.0,11.87,33.52,7.53,Medium,25.76,1.64
Tanker,Large,111.55,93.0,6.1,12.05,2.12,Low,284.87,16.89
Tanker,Small,28.52,71.0,5.52,15.76,3.34,Low,58.1,5.46
Passenger,Large,157.16,65.0,5.29,9.79,1.2,Low,239.63,16.62
Passenger,Large,138.28,78.0,4.56,38.79,3.15,Low,359.97,17.08
Tanker,Large,171.07,86.0,9.62,32.43,4.37,Low,82.22,14.06
Passenger,Large,133.34,75.0,12.27,30.59,4.92,Medium,377.68,12.46
Passenger,Medium,99.44,62.0,38.46,33.4,15.13,High,30.1,0.2
Container,Small,46.68,84.0,23.14,11.84,4.48,Medium,74.81,2.31
Tanker,Medium,72.4,96.0,39.5,22.23,18.75,High,140.06,1.11
Cargo,Large,191.03,75.0,14.9,31.66,6.36,Medium,398.05,12.37
Container,Small,30.75,69.0,18.31,31.83,10.04,Medium,425.07,5.09
Passenger,Small,28.85,78.0,12.98,39.59,3.29,Low,110.19,5.13
Tanker,Medium,73.39,62.0,7.32,14.36,3.29,Low,47.89,10.7
Container,Medium,71.4,93.0,5.73,38.52,3.44,Low,423.98,14.04
Passenger,Small,38.17,93.0,37.8,22.01,12.52,High,324.68,0.66
Cargo,Large,139.06,84.0,39.47,33.51,17.37,High,78.93,2.41
Passenger,Medium,97.98,74.0,1.8,22.79,1.48,Low,278.86,13.29
Container,Large,100.11,92.0,6.01,47.43,3.47,Low,436.19,17.57
Container,Small,25.66,82.0,16.94,8.97,6.91,Medium,34.76,2.03
Cargo,Medium,56.13,93.0,7.45,33.75,3.99,Low,41.86,10.17
Tanker,Large,144.47,85.0,14.56,28.83,4.26,Medium,136.8,10.04
Container,Large,125.62,91.0,5.16,8.64,1.95,Low,326.13,17.44
Tanker,Large,149.66,84.0,18.26,3.3,5.35,Low,89.0,14.18
Cargo,Small,49.28,77.0,10.87,39.96,6.09,Medium,408.18,5.53
Cargo,Large,158.02,98.0,14.08,7.87,1.82,Low,375.22,17.51
Container,Small,36.8,82.0,3.77,9.33,1.73,Low,280.5,8.06
Tanker,Small,45.53,84.0,17.13,48.92,8.31,Medium,58.03,1.31
Cargo,Large,155.52,69.0,39.33,35.86,17.45,High,494.11,6.51
Tanker,Medium,65.94,85.0,13.15,12.52,6.62,Medium,245.02,8.48
Passenger,Medium,79.97,83.0,35.06,29.55,11.16,High,226.04,2.8
Cargo,Large,176.13,67.0,33.73,26.71,9.33,Medium,497.78,12.22
Cargo,Large,171.61,62.0,38.08,42.22,7.48,Medium,431.93,11.22
Tanker,Large,175.36,84.0,31.6,36.47,9.24,Medium,228.18,9.45
Container,Large,133.43,91.0,26.38,41.59,5.44,Medium,209.4,9.8
Cargo,Small,26.18,81.0,34.26,10.58,14.96,High,47.95,0.0
Container,Small,28.7,69.0,3.03,32.01,2.88,Low,463.26,9.35
Passenger,Medium,76.57,87.0,18.51,2.01,5.04,Low,421.89,13.95
Passenger,Large,145.13,63.0,39.57,3.45,8.24,Medium,155.0,9.08
Passenger,Small,25.36,78.0,30.78,35.68,6.32,Medium,376.66,4.28
Container,Large,133.09,67.0,38.48,1.22,17.01,High,381.36,6.16
Passenger,Medium,51.52,67.0,31.19,28.99,15.52,High,113.96,1.45
Tanker,Small,22.06,68.0,35.0,42.02,9.33,High,306.83,0.54
Cargo,Large,141.73,75.0,28.26,19.0,10.8,Medium,127.51,8.8
Cargo,Large,192.8,62.0,30.42,2.24,6.3,Medium,394.94,12.15
Passenger,Small,26.22,76.0,20.93,35.69,5.76,Medium,76.9,1.83
Passenger,Small,37.56,80.0,36.97,46.48,6.33,Medium,334.45,3.33
Cargo,Small,37.26,79.0,33.0,35.86,12.71,High,163.01,0.0
Tanker,Medium,96.06,75.0,33.76,28.92,6.85,Medium,18.09,4.83
Cargo,Large,141.37,94.0,26.92,11.5,3.4,Low,61.85,13.5
Container,Medium,67.9,66.0,12.18,0.77,1.77,Low,327.45,13.67
Passenger,Small,33.33,80.0,1.43,34.73,2.06,Low,119.96,6.03
Cargo,Small,20.41,62.0,37.43,11.55,14.34,High,315.52,0.62
Cargo,Small,28.74,63.0,23.44,42.91,6.39,Medium,207.41,2.8
Passenger,Small,42.23,83.0,11.93,23.32,6.59,Medium,346.36,5.14
Container,Medium,74.23,83.0,5.97,26.53,2.61,Low,246.47,12.57
Tanker,Large,140.21,95.0,33.18,37.7,9.6,High,154.27,4.17
Passenger,Small,21.23,82.0,33.46,38.97,8.21,Medium,72.91,0.86
Cargo,Large,139.45,98.0,32.58,32.13,8.17,Medium,170.55,9.02
Passenger,Medium,99.28,62.0,25.8,46.92,5.69,Medium,317.45,7.98
Tanker,Medium,63.45,64.0,14.64,49.11,5.65,Medium,370.24,9.02
Passenger,Large,141.5,62.0,12.16,47.34,7.76,Medium,80.17,8.87
Container,Small,21.45,67.0,0.34,41.21,2.19,Low,332.14,8.06
Cargo,Large,113.69,82.0,33.34,35.28,16.77,High,89.64,2.85
Container,Small,24.7,86.0,3.5,33.17,2.16,Low,110.91,5.85
Cargo,Large,181.69,62.0,25.23,5.19,7.38,Medium,265.66,10.95
Passenger,Small,24.27,98.0,20.16,13.57,4.54,Low,144.6,5.51
Tanker,Large,194.61,94.0,21.07,0.28,8.2,Medium,330.8,11.83
Cargo,Medium,57.6,72.0,37.07,6.87,18.44,High,477.89,4.94
Passenger,Medium,93.78,63.0,1.26,21.96,1.63,Low,74.45,11.28
Passenger,Medium,55.83,67.0,30.94,7.33,3.9,Medium,285.26,8.37
Passenger,Medium,80.99,65.0,2.08,45.08,2.73,Low,461.65,14.54
Container,Medium,52.42,65.0,1.53,40.28,2.18,Low,88.26,10.98
Tanker,Large,193.88,81.0,17.19,3.58,2.17,Low,183.43,15.49
Cargo,Large,100.4,70.0,2.52,12.45,0.95,Low,61.81,14.95
Cargo,Medium,50.87,74.0,31.57,40.95,8.69,Medium,321.02,7.54
Passenger,Small,40.56,100.0,21.18,40.15,6.7,Medium,334.57,4.21
Passenger,Medium,51.09,87.0,1.16,47.27,2.67,Low,332.09,13.25
Passenger,Medium,96.62,98.0,1.62,49.88,2.92,Low,271.06,12.54
Cargo,Small,36.77,66.0,24.51,48.81,12.45,High,373.13,1.28
Cargo,Medium,85.64,75.0,32.24,20.51,6.07,Medium,17.94,5.15
Cargo,Large,123.04,82.0,17.51,12.52,3.48,Low,478.76,18.11
Cargo,Large,112.02,63.0,22.18,37.92,9.67,Medium,111.05,8.68
Container,Medium,52.76,60.0,31.99,14.96,11.26,Medium,60.78,5.18
Container,Large,127.06,87.0,24.42,40.32,5.96,Medium,470.57,12.48
Container,Large,114.45,86.0,8.99,26.7,5.3,Low,415.22,17.44
Tanker,Large,102.77,76.0,24.52,39.7,7.66,Medium,382.44,11.44
Cargo,Small,46.72,80.0,25.13,13.79,6.89,Medium,52.37,1.7
Tanker,Medium,65.82,77.0,29.36,25.4,9.14,Medium,403.76,8.75
Tanker,Small,30.26,61.0,24.83,28.2,7.1,Medium,304.51,3.93
Tanker,Medium,78.72,73.0,38.77,47.16,14.88,High,365.95,3.29
Container,Small,29.28,67.0,7.89,13.33,2.68,Low,489.04,9.76
Cargo,Large,128.67,64.0,38.04,46.83,10.09,High,97.22,3.12
Passenger,Small,49.72,98.0,21.53,40.24,11.95,High,252.19,0.45
Passenger,Medium,59.42,84.0,26.88,36.54,7.83,Medium,376.68,8.51
Cargo,Medium,90.11,89.0,3.98,39.34,3.48,Low,216.83,12.03
Tanker,Small,22.15,73.0,15.22,30.27,5.15,Medium,27.33,1.79
Container,Large,144.87,76.0,30.78,12.2,9.05,Medium,55.72,8.27
Cargo,Large,103.8,69.0,28.28,9.47,5.97,Medium,301.05,11.21
Container,Medium,85.17,64.0,1.61,43.32,2.81,Low,142.5,11.4
Tanker,Medium,54.48,67.0,21.86,36.26,10.45,Medium,68.92,5.43
Cargo,Medium,62.74,92.0,3.53,10.66,0.92,Low,169.95,12.42
Container,Large,192.3,87.0,39.83,30.75,6.48,Medium,100.49,8.15
Cargo,Medium,70.6,82.0,35.89,22.38,17.95,High,11.97,0.08
Container,Large,150.28,79.0,0.84,7.93,0.78,Low,75.91,15.28
Cargo,Small,20.93,97.0,34.35,26.59,11.72,High,441.54,1.99
Tanker,Medium,87.51,63.0,36.78,14.08,11.64,High,6.02,0.78
Passenger,Large,102.05,71.0,14.14,4.81,6.25,Low,386.93,17.24
Passenger,Medium,67.95,74.0,28.78,23.35,5.64,Medium,376.73,8.9
Container,Small,45.9,91.0,17.68,29.51,7.87,Medium,282.12,3.96
Passenger,Small,33.93,100.0,26.21,2.35,7.73,Medium,104.22,2.31
Container,Large,102.46,70.0,13.61,20.1,6.41,Medium,439.03,13.07
Passenger,Large,110.99,95.0,12.9,12.88,2.09,Low,237.54,16.06
Tanker,Small,46.24,93.0,16.98,1.53,5.8,Low,86.6,5.21
Passenger,Large,140.72,69.0,5.82,6.28,2.19,Low,214.51,16.31
Tanker,Small,47.02,76.0,33.25,6.95,14.86,High,97.46,0.0
Cargo,Medium,87.36,76.0,13.95,9.14,5.63,Low,188.0,11.64
Tanker,Large,119.02,99.0,16.01,40.17,9.25,Medium,248.34,10.35
Tanker,Small,25.94,67.0,35.76,21.97,17.37,High,179.95,0.0
Container,Medium,89.78,92.0,19.86,7.35,5.6,Medium,328.52,9.19
Tanker,Small,45.08,73.0,21.77,5.01,3.62,Low,467.96,8.93
Passenger,Large,158.14,89.0,38.26,14.9,14.22,High,174.07,4.11
Tanker,Large,181.23,77.0,35.47,39.9,17.94,High,177.87,3.41
Container,Large,142.99,83.0,6.78,18.22,1.79,Low,369.15,17.61
Passenger,Medium,86.2,93.0,18.93,7.99,6.52,Medium,265.3,8.49
Passenger,Medium,82.55,92.0,38.85,20.21,6.68,Medium,214.42,6.73
Container,Large,195.74,95.0,14.89,27.77,3.04,Low,406.9,17.27
Cargo,Large,108.49,62.0,14.86,1.48,5.6,Low,445.52,17.92
Passenger,Small,36.64,88.0,7.8,31.38,4.48,Low,295.29,7.29
Container,Small,27.13,66.0,4.57,19.76,2.54,Low,92.55,5.85
Container,Large,134.52,77.0,29.61,0.49,13.16,Medium,233.14,9.93
Cargo,Small,25.64,82.0,30.8,33.69,5.76,Medium,252.19,3.13
Passenger,Large,167.62,76.0,38.76,35.62,7.29,Medium,216.1,9.18
Container,Small,35.28,81.0,30.94,31.44,15.37,High,131.22,0.0
Passenger,Large,107.17,100.0,9.73,17.1,3.79,Low,236.16,15.95
Tanker,Large,173.21,65.0,1.6,26.48,1.66,Low,223.27,16.26
Container,Medium,87.73,87.0,39.42,19.36,16.55,High,104.75,1.03
Passenger,Medium,75.37,76.0,13.62,35.03,7.99,Medium,451.72,9.94
Passenger,Medium,94.17,65.0,12.48,29.18,6.15,Medium,442.67,10.2
Cargo,Large,155.78,66.0,36.24,4.09,15.31,High,379.81,6.37
Cargo,Large,192.02,98.0,23.4,32.15,6.59,Medium,200.47,9.93
Tanker,Medium,59.24,95.0,8.59,34.36,3.57,Low,185.17,11.58
Tanker,Small,28.05,96.0,35.56,18.54,16.77,High,358.23,0.76
Cargo,Large,175.92,100.0,39.73,43.79,15.93,High,304.06,4.59
Container,Small,23.27,68.0,3.47,42.15,2.78,Low,300.3,7.51
Tanker,Large,121.92,74.0,34.49,8.76,11.12,Medium,62.06,8.01
Container,Small,40.89,87.0,15.62,45.21,8.11,Medium,309.14,4.0
Container,Small,35.15,79.0,20.96,22.04,5.03,Medium,450.93,5.92
Container,Small,28.71,77.0,36.59,36.19,15.05,High,42.91,0.0
Tanker,Small,43.41,74.0,38.94,40.7,6.59,Medium,169.59,1.68
Tanker,Large,125.6,84.0,10.49,25.26,3.59,Low,254.51,15.96
Passenger,Large,120.95,83.0,8.51,19.96,4.14,Low,343.0,16.99
Passenger,Small,25.71,66.0,3.22,45.77,2.8,Low,44.82,4.89
Container,Small,29.62,79.0,22.47,11.54,4.82,Medium,436.4,5.93
Cargo,Large,175.49,82.0,0.54,12.85,0.89,Low,20.27,14.63
Container,Large,139.97,83.0,16.48,18.08,7.0,Medium,428.84,12.8
Tanker,Large,192.16,68.0,2.94,42.97,3.03,Low,13.83,13.63
Passenger,Medium,90.2,90.0,16.21,46.94,5.34,Medium,76.76,6.08
Passenger,Small,22.9,61.0,1.6,11.0,0.93,Low,400.16,9.41
Passenger,Small,40.64,74.0,33.41,43.19,13.18,High,430.08,1.45
Cargo,Medium,76.26,91.0,8.39,12.91,2.01,Low,491.13,15.23
Tanker,Small,47.03,83.0,13.13,48.53,6.27,Medium,57.86,1.72
Passenger,Large,174.63,70.0,34.8,29.87,10.67,High,263.23,5.23
Tanker,Large,189.3,88.0,29.85,0.35,8.69,Medium,38.58,8.42
Container,Large,145.23,83.0,8.76,1.71,1.33,Low,78.2,14.98
Cargo,Large,188.55,92.0,2.88,7.37,0.78,Low,87.25,15.3
Passenger,Small,24.66,89.0,28.63,9.38,14.37,High,31.69,0.0
Tanker,Large,106.82,84.0,15.63,38.38,9.61,Medium,446.49,12.35
Container,Small,33.21,80.0,30.64,11.14,8.84,Medium,63.18,1.39
Tanker,Small,49.68,65.0,17.81,48.46,9.82,Medium,314.67,3.7
Cargo,Medium,52.33,70.0,13.84,31.81,6.6,Medium,312.87,8.74
Cargo,Large,144.72,77.0,18.05,34.63,4.38,Medium,99.32,9.36
Tanker,Medium,57.82,84.0,29.94,10.89,7.09,Medium,499.21,10.17
Passenger,Medium,61.75,81.0,36.09,44.64,10.37,High,173.68,2.0
Tanker,Small,41.17,72.0,1.99,33.39,2.34,Low,452.55,9.32
Cargo,Small,40.72,60.0,20.96,43.22,9.12,Medium,474.14,5.32
Tanker,Large,154.68,80.0,1.31,47.82,3.01,Low,474.49,18.22
Container,Large,152.62,71.0,18.74,6.28,8.11,Medium,376.42,12.29
Cargo,Large,121.76,89.0,35.41,4.83,15.92,High,126.9,3.81
Container,Large,101.39,61.0,14.46,40.17,8.61,Medium,60.33,8.62
Tanker,Large,105.15,83.0,37.3,43.31,17.85,High,284.94,4.33
Tanker,Small,31.92,98.0,25.22,29.19,7.34,Medium,180.02,2.62
Tanker,Medium,89.46,67.0,37.37,18.3,7.87,Medium,415.52,8.73
Container,Large,142.83,79.0,30.29,32.63,11.59,High,372.5,6.4
Container,Large,158.53,64.0,4.14,15.28,2.32,Low,138.23,15.44
Cargo,Large,138.72,85.0,9.25,11.92,2.95,Low,8.51,13.89
Cargo,Large,164.36,82.0,15.77,24.41,8.15,Medium,118.66,9.49
Passenger,Medium,65.51,76.0,6.8,10.81,3.83,Low,283.56,13.1
Tanker,Large,174.84,81.0,19.8,24.19,7.7,Medium,39.5,8.55
Tanker,Medium,62.31,96.0,18.85,47.83,7.72,Medium,329.14,8.22
Cargo,Large,126.56,68.0,38.25,41.99,18.82,High,335.85,4.72
Container,Small,36.44,61.0,17.35,47.08,4.26,Medium,84.7,2.01
Tanker,Small,20.15,94.0,31.43,40.32,6.78,Medium,298.16,3.33
Tanker,Medium,94.73,83.0,37.68,17.74,17.4,High,303.49,3.06
Cargo,Medium,54.45,96.0,35.08,40.6,15.81,High,238.99,2.24
Passenger,Small,32.89,84.0,8.35,46.15,4.53,Medium,476.62,6.37
Container,Small,32.26,92.0,19.84,47.35,11.41,High,54.08,0.0
Cargo,Small,27.04,77.0,13.91,34.16,5.05,Medium,203.31,3.55
Container,Small,42.84,90.0,15.99,10.57,6.18,Medium,441.46,6.19
Passenger,Large,144.01,97.0,14.43,1.99,5.2,Low,193.16,15.45
Tanker,Large,176.07,83.0,33.05,7.36,6.11,Medium,212.32,10.11
Passenger,Medium,97.62,67.0,18.09,48.28,6.28,Medium,334.14,8.44
Tanker,Large,130.28,71.0,20.95,23.1,10.93,Medium,332.78,11.13
Container,Small,39.94,68.0,39.3,42.75,8.95,High,11.45,0.0
Container,Medium,63.25,70.0,2.4,23.25,1.57,Low,227.85,12.74
Passenger,Small,29.95,72.0,19.52,33.04,7.35,Medium,166.76,2.7
Container,Small,42.72,82.0,30.96,1.21,4.3,Medium,313.85,4.54
Tanker,Large,191.3,84.0,6.05,12.49,3.39,Low,277.85,16.69
Tanker,Medium,91.77,77.0,24.46,21.81,4.52,Medium,325.43,8.74
